,$,inicio,varinicio,varfim,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,entao,opr,fimse,fim,AB_P,FC_P,PT_V,P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
0,,S2,,,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,,,,,,
1,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,S4,,,,,,,,,,,,,,,,,,,,,S3,,,,,,,,,,,,,
3,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,,,,,,,S5,S6,,S7,,,S8,S13,,
4,,,,S17,S18,,,,,,,,,,,,,,,,,,,,S15,S16,,,,,,,,,,,
5,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,,,,,,,S19,S6,,S7,,,S8,S13,,
7,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,,,,,,,S20,S6,,S7,,,S8,S13,,
8,,,,,S12,,,,S10,S11,,,,,S14,,,,S9,,,,,,,,,S21,S6,,S7,,,S8,S13,,
9,R30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,S26,,,,,,S24,S25,,,,,,,,,,,,,,,,,,S23,,,,,,,
12,,,,,,,,,,,,,S27,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,S12,,,,S10,S11,,,,,S14,,,S32,,,,,,,,,,,S29,,S30,,,S31,S13,,S28
14,,,,,,,,,,,,,,,,,,,,S33,,,,,,,,,,,,,,,,,
15,,,,,R3,,,,R3,R3,,,,,R3,,,,R3,,,,,,,,,,,,,,,,,,
16,,,,S17,S18,,,,,,,,,,,,,,,,,,,,S35,S16,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,S36,,,,,,,,,,,,,,,
18,,,,,,S38,S39,S40,,,,,,,,,,,,,,,,,,,S37,,,,,,,,,,
19,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,S41,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,S42,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,R13,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,R14,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,R15,,,,,,,,,,,,,,,
27,,,,,S45,,,,,,,S46,,,,,,,,,,,,,,,,,,,,S43,S44,,,,
28,,,,,R23,,,,R23,R23,,,,,R23,R23,,R23,R23,,,,,,,,,,,,,,,,,,
29,,,,,S12,,,,S10,S11,,,,,S14,,,S32,,,,,,,,,,,S29,,S30,,,S31,S13,,S47
30,,,,,S12,,,,S10,S11,,,,,S14,,,S32,,,,,,,,,,,S29,,S30,,,S31,S13,,S48
31,,,,,S12,,,,S10,S11,,,,,S14,,,S32,,,,,,,,,,,S29,,S30,,,S31,S13,,S49
32,,,,,R29,,,,R29,R29,,,,,R29,,,R29,R29,,,,,,,,,,,,,,,,,,
33,,,,,S45,,,,,,,S46,,,,,,,,,,,,,,,,,,,,,S51,,,S50,
34,,,,R6,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,R4,,,,R4,R4,,,,,R4,,,,R4,,,,,,,,,,,,,,,,,,
36,,,,,R5,,,,R5,R5,,,,,R5,,,,R5,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,S34,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,R7,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,R8,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,R9,,,,,,,,,,,,,,,
41,,,,,R11,,,,R11,R11,,,,,R11,,,R11,,,,,,,,,,,,,,,,,,,
42,,,,,R12,,,,R12,R12,,,,,R12,,,R12,R12,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,S54,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,S55,,,,,,,,R19,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,R20,,,R20,,,,R20,R20,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,R21,,,,,,,R21,R21,,,,,,,,,,,,,,,
47,,,,,R26,,,,R26,R26,,,,,R26,,,R26,R26,,,,,,,,,,,,,,,,,,
48,,,,,R27,,,,R27,R27,,,,,R27,,,R27,R27,,,,,,,,,,,,,,,,,,
49,,,,,R28,,,,R28,R28,,,,,R28,,,R28,R28,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,S56,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,S52,,,,,,,,,,,,,,,,,,,,
52,,,,,S45,,,,,,,S46,,,,,,,,,,,,,,,,,,,,,S53,,,,
53,,,,,,,,,,,,,,,,,,,,,R25,,,,,,,,,,,,,,,,
54,,,,,R17,,,,R17,R17,,,,,R17,,,R17,R17,,,,,,,,,,,,,,,,,,
55,,,,,S45,,,,,,,S46,,,,,,,,,,,,,,,,,,,,,S58,,,,
56,,,,,,,,,,,,,,,,S57,,,,,,,,,,,,,,,,,,,,,
57,,,,,R24,,,,R24,R24,,,,,R24,,,R24,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,